code,name,origin_city_code,destination_city_code,departure_date,return_date,adults,children_ages,transport_type,flight_fare_type,rail_class,accommodation_type,stars,meal_type,cancellation_filter,active_from,active_until,priority,tags,notes
,,MOW,LED,2026-09-18,2026-09-22,2,,RAIL,,COMPARTMENT,HOTEL,3,ANY,ANY,,2026-09-22,1,challenge;CS01;rail;two-source,"[CS01] ЖД купе, оба источника транспорта доступны: ожидается SUCCESS с 2 источниками"
,,MOW,LED,2026-09-18,2026-09-22,2,,RAIL,,RESERVED_SEAT,HOTEL,3,ANY,ANY,,2026-09-22,1,challenge;CS02;rail;class-separation,[CS02] Плацкарт агрегируется отдельно от купе: медиана должна быть заметно ниже CS01
,,MOW,AER,2026-09-03,2026-09-08,2,,AVIA,CHEAPEST,,HOTEL,3,ANY,ANY,,2026-09-08,1,challenge;CS03;avia;baseline,"[CS03] Массовое летнее направление, 3★: базовый эталон сравнения с ручной проверкой"
,,MOW,AER,2026-10-03,2026-10-08,2,,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-10-08,1,challenge;CS04;avia;meal;baggage,[CS04] 4★ с завтраком и ручной кладью: проверка фильтра питания и багажа
,,MOW,AER,2026-11-02,2026-11-06,2,,AVIA,CHECKED_BAGGAGE,,HOTEL,5,BREAKFAST,FREE_CANCELLATION,,2026-11-06,1,challenge;CS05;avia;cancellation;small-sample,[CS05] 5★ со свободной отменой: проверка фильтра отмены и малой выборки
,,LED,AER,2026-09-18,2026-09-23,2,,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-09-23,1,challenge;CS06;avia,[CS06] Второй крупный город отправления: проверка независимости от MOW
,,MOW,KRR,2026-09-03,2026-09-08,2,,AVIA,CHEAPEST,,HOTEL,3,ANY,ANY,,2026-09-08,1,challenge;CS07;avia,[CS07] Краснодар: региональное направление с ЖД-альтернативой
,,MOW,KGD,2026-10-03,2026-10-08,2,,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-10-08,1,challenge;CS08;avia;exclave,"[CS08] Эксклав: авиа основной способ, ЖД идет транзитом через третьи страны"
,,MOW,UUS,2026-11-02,2026-11-07,2,,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-11-07,1,challenge;CS09;avia;long-haul,"[CS09] Дальний Восток: длинное плечо, высокая цена, малое число перевозчиков"
,,KRR,AER,2026-09-03,2026-09-07,2,,RAIL,,COMPARTMENT,HOTEL,3,ANY,ANY,,2026-09-07,1,challenge;CS10;rail;short-haul,[CS10] Короткое ЖД-плечо: проверка корректности при малой длительности поездки
